#,MLS #,Status,Area,Address,Zip,# Beds Total,# Baths Full,# Baths Half,# Living,# Stories,# Garage Spaces,Year Built,Acres,Sqft Total,LP$SqFt,List Price,Sold/Lease$/SqFt,Sold/Lease Price,Sold/Lease Date,ADOM,CDOM
1,8020606,S,1A,6106 Twin Ledge CIR,78731,2,2,0,2,1,2,1980,0.08,"1,662",$216.61 ,"$360,000 ",$197.05 ,"$327,500 ",12/31/2015,5,5
2,6609760,S,1A,7948 Mesa Trails CIR,78731,3,2,1,3,2,2,1983,0.11,"2,912",$137.02 ,"$399,000 ",$121.91 ,"$355,000 ",9/16/2015,,
3,2086416,S,1A,4423 Stony Meadow LN,78731,3,3,0,1,2,2,1979,0.14,"1,749",$234.42 ,"$410,000 ",$228.70 ,"$400,000 ",11/30/2015,3,3
4,8839183,S,1A,4029 Dominion CV,78759,3,2,1,1,2,2,1995,0.12,"2,204",$190.52 ,"$419,914 ",$181.49 ,"$400,000 ",7/21/2015,13,13
5,5171145,S,1A,3608 Brownwood DR,78759,4,3,0,2,2,2,1968,0.19,"2,310",$183.98 ,"$425,000 ",$181.82 ,"$420,000 ",9/10/2015,1,1
6,9258478,S,1A,8003 Lawndale DR,78759,4,2,0,1,1,2,1965,0.22,"2,006",$216.85 ,"$435,000 ",$211.86 ,"$425,000 ",11/16/2015,41,41
7,2161806,S,1A,4202 CAT HOLLOW DR,78731,3,2,0,2,1,2,1965,,"1,917",$229.34 ,"$439,650 ",$224.31 ,"$430,000 ",8/17/2015,24,24
8,9107905,S,1A,8833 Mountain Path CIR,78759,3,2,0,1,1,2,1976,0.24,"2,004",$214.42 ,"$429,700 ",$214.57 ,"$430,000 ",7/14/2015,4,4
9,7060162,S,1A,8004 Spandera CV,78759,3,2,0,1,1,2,1981,0.21,"1,815",$236.86 ,"$429,900 ",$238.29 ,"$432,500 ",8/31/2015,4,4
10,7040053,S,1A,6101 Twin Ledge DR,78731,3,2,1,3,2,2,1984,0.31,"2,543",$180.89 ,"$460,000 ",$174.99 ,"$445,000 ",10/15/2015,60,60
11,8595179,S,1A,7643 PARKVIEW CIR,78731,4,3,0,2,M,2,1973,0.31,"2,600",$191.92 ,"$499,000 ",$173.46 ,"$451,000 ",8/5/2015,3,3
12,1697116,S,1A,5702 Westslope DR,78731,4,2,0,1,1,2,1977,0.28,"2,131",$234.58 ,"$499,900 ",$221.96 ,"$473,000 ",12/29/2015,86,86
13,6374136,S,1A,4006 Brandi CT,78759,3,2,0,2,1,2,1976,0.19,"2,227",$213.29 ,"$475,000 ",$212.62 ,"$473,500 ",7/1/2015,8,8
14,4962970,S,1A,4407 Jessamine HOLW,78731,3,2,0,1,2,2,1977,0.13,"2,544",$190.64 ,"$485,000 ",$186.71 ,"$475,000 ",10/9/2015,41,41
15,3245353,S,1A,7308 Waterline RD,78731,4,2,0,2,1,2,1966,0.23,"1,940",$230.67 ,"$447,500 ",$247.42 ,"$480,000 ",11/17/2015,5,5
16,6474216,S,1A,8403 Lone Mesa,78759,4,2,1,1,1,2,1981,0.28,"2,333",$214.27 ,"$499,900 ",$205.74 ,"$480,000 ",10/8/2015,39,39
17,8594997,S,1A,7514 Downridge DR,78731,3,2,1,2,2,2,1978,0.33,"2,048",$244.14 ,"$500,000 ",$234.62 ,"$480,500 ",9/1/2015,64,64
18,6822096,S,1A,4403 Jessamine HOLW,78731,3,2,1,2,M,2,1977,0.15,"2,207",$224.29 ,"$495,000 ",$219.76 ,"$485,000 ",9/8/2015,56,56
19,7262499,S,1A,6206 Highland Hills DR,78731,4,2,0,2,1,2,1966,0.28,"2,255",$221.69 ,"$499,900 ",$221.29 ,"$499,000 ",8/7/2015,13,13
20,9352112,S,1A,8609 Green Valley,78759,3,2,0,1,1,2,1984,0.24,"2,050",$231.71 ,"$475,000 ",$243.66 ,"$499,500 ",7/15/2015,3,3
21,2730066,S,1A,8300 Silver Ridge DR,78759,4,3,0,2,2,2,1972,0.23,"2,641",$196.52 ,"$519,000 ",$189.63 ,"$500,825 ",11/30/2015,17,17
22,8195763,S,1A,8406 Mesa Doble LN,78759,4,3,1,2,M,2,1980,0.26,"2,857",$192.51 ,"$550,000 ",$176.76 ,"$505,000 ",9/14/2015,31,31
23,8784968,S,1A,8131 Raintree PL,78759,3,2,1,1,2,2,1983,0.28,"2,382",$214.11 ,"$510,000 ",$214.11 ,"$510,000 ",8/17/2015,8,8
24,1679400,S,1A,6403 Lakewood DR,78731,3,2,0,3,1,2,1978,0.39,"2,676",$193.95 ,"$519,000 ",$192.45 ,"$515,000 ",12/21/2015,74,74
25,2391668,S,1A,8862 Mountain Ridge CIR,78759,4,2,1,1,2,2,1977,0.27,"2,384",$220.22 ,"$525,000 ",$216.02 ,"$515,000 ",11/9/2015,64,64
26,8570254,S,1A,5800 Highland Hills DR,78731,3,2,0,2,1,2,1957,0.33,"1,745",$309.46 ,"$540,000 ",$295.13 ,"$515,000 ",8/7/2015,30,30
27,6150747,S,1A,5806 Westmont DR,78731,3,2,0,1,1,2,1963,0.31,"2,090",$253.54 ,"$529,900 ",$251.87 ,"$526,400 ",7/30/2015,10,10
28,2051411,S,1A,4007 Far West BLVD,78731,4,3,0,1,1,2,1968,0.26,"2,265",$224.72 ,"$509,000 ",$232.67 ,"$527,000 ",8/20/2015,4,4
29,5212886,S,1A,5905 Paseo Del Toro,78731,4,2,1,2,2,2,1980,0.19,"2,127",$253.83 ,"$539,900 ",$248.71 ,"$529,000 ",12/21/2015,12,12
30,9874039,S,1A,8617 Alverstone WAY,78759,3,2,0,3,2,2,1978,0.35,"3,138",$174.95 ,"$549,000 ",$168.58 ,"$529,000 ",8/13/2015,55,55
31,9254422,S,1A,4403 Cat Mountain DR,78731,3,3,0,1,M,2,1976,0.33,"3,432",$196.68 ,"$675,000 ",$155.59 ,"$534,000 ",9/18/2015,67,67
32,8702277,S,1A,9004 Wildridge DR,78759,4,3,0,3,1,2,1977,0.26,"3,029",$177.95 ,"$539,000 ",$177.29 ,"$537,000 ",12/7/2015,84,84
33,4914795,S,1A,6107 Highland Hills DR,78731,4,2,1,2,2,2,1971,0.3,"2,572",$223.56 ,"$575,000 ",$209.56 ,"$539,000 ",8/25/2015,36,36
34,4540937,S,1A,3801 Laurel Ledge LN,78731,4,4,0,2,2,2,1973,0.32,"2,874",$200.03 ,"$574,900 ",$188.17 ,"$540,800 ",10/8/2015,88,88
35,8857223,S,1A,4109 Circletree LOOP,78731,4,2,0,2,1,2,1964,0.21,"1,989",$279.03 ,"$555,000 ",$273.50 ,"$544,000 ",10/6/2015,19,19
36,6931178,S,1A,8540 Adirondack TRL Unit#17,78759,3,2,1,3,2,2,2005,0.51,"2,214",$255.19 ,"$565,000 ",$246.16 ,"$545,000 ",12/23/2015,22,22
37,8467050,S,1A,8707 Oakmountain CIR,78759,4,2,0,2,1,2,1968,0.28,"2,299",$247.06 ,"$568,000 ",$239.65 ,"$550,960 ",11/16/2015,22,22
38,2096946,S,1A,4405 ENCLAVE CV,78731,5,3,0,1,2,2,1992,0.29,"2,539",$222.53 ,"$565,000 ",$217.03 ,"$551,050 ",9/28/2015,6,6
39,7031707,S,1A,7219 Running Rope,78731,4,2,0,1,1,2,1969,0.26,"1,893",$287.90 ,"$545,000 ",$293.19 ,"$555,000 ",11/10/2015,4,4
40,6677319,S,1A,8711 Oakmountain CIR,78759,5,3,0,1,2,2,1966,0.33,"2,955",$191.20 ,"$565,000 ",$187.82 ,"$555,000 ",8/20/2015,5,5
41,4377174,S,1A,4117 Honeycomb Rock CIR,78731,4,2,1,2,1,2,1965,0.25,"2,217",$259.36 ,"$575,000 ",$252.59 ,"$560,000 ",8/27/2015,8,8
42,3650067,S,1A,4207 Cat Hollow DR,78731,4,2,0,2,1,2,1966,0.27,"2,302",$236.75 ,"$545,000 ",$244.51 ,"$562,854 ",7/20/2015,3,3
