,Zip,Sqft Total,List Price,Sold/Lease$/SqFt,Sold/Lease Price,Sold/Lease Date
0,78759,"1,696","$379,000 ",$238.80 ,"$405,000 ",10/27/2017
1,78759,"2,024","$424,999 ",$207.51 ,"$420,000 ",8/14/2017
2,78759,"1,978","$395,000 ",$216.63 ,"$428,500 ",6/23/2017
3,78759,"2,080","$495,000 ",$210.34 ,"$437,500 ",10/3/2017
4,78731,"1,527","$450,000 ",$290.11 ,"$443,000 ",10/26/2017
5,78759,"1,830","$469,900 ",$245.90 ,"$450,000 ",6/30/2017
6,78731,"3,288","$500,000 ",$138.38 ,"$455,000 ",5/23/2017
7,78731,"2,203","$500,000 ",$208.81 ,"$460,000 ",8/24/2017
8,78731,"1,662","$477,000 ",$280.99 ,"$467,000 ",7/13/2017
9,78759,"2,188","$449,900 ",$214.81 ,"$470,000 ",8/7/2017
10,78759,"1,718","$495,900 ",$274.59 ,"$471,750 ",9/13/2017
11,78759,"2,152","$499,900 ",$220.72 ,"$475,000 ",10/30/2017
12,78759,"1,908","$499,990 ",$248.95 ,"$475,000 ",9/7/2017
13,78759,"1,741","$479,989 ",$272.83 ,"$475,000 ",8/1/2017
14,78759,"1,960","$465,000 ",$242.35 ,"$475,000 ",5/25/2017
15,78731,"3,934","$695,000 ",$122.01 ,"$480,000 ",6/21/2017
16,78759,"1,609","$499,000 ",$298.32 ,"$480,000 ",7/10/2017
17,78759,"2,006","$479,900 ",$239.28 ,"$480,000 ",6/2/2017
18,78759,"2,321","$525,000 ",$207.67 ,"$482,000 ",5/30/2017
19,78759,"2,072","$499,000 ",$237.69 ,"$492,500 ",9/8/2017
20,78759,"2,016","$480,000 ",$248.02 ,"$500,000 ",11/3/2017
21,78731,"1,638","$529,000 ",$305.25 ,"$500,000 ",7/13/2017
22,78759,"2,416","$579,900 ",$211.09 ,"$510,000 ",8/9/2017
23,78759,"2,375","$500,000 ",$218.95 ,"$520,000 ",8/30/2017
24,78731,"1,834","$489,900 ",$286.26 ,"$525,000 ",11/17/2017
25,78731,"2,322","$529,999 ",$228.25 ,"$529,999 ",8/21/2017
26,78759,"1,953","$539,000 ",$271.38 ,"$530,000 ",9/8/2017
27,78759,"2,132","$525,000 ",$251.88 ,"$537,000 ",8/4/2017
28,78759,"2,500","$539,000 ",$215.60 ,"$539,000 ",8/1/2017
29,78759,"2,184","$549,900 ",$249.31 ,"$544,500 ",9/1/2017
30,78731,"1,795","$500,000 ",$304.18 ,"$546,000 ",7/28/2017
31,78731,"2,445","$598,000 ",$223.72 ,"$547,000 ",8/30/2017
32,78759,"2,749","$575,000 ",$199.16 ,"$547,500 ",7/14/2017
33,78731,"2,410","$595,000 ",$230.29 ,"$555,000 ",7/7/2017
34,78731,"2,491","$578,000 ",$224.21 ,"$558,500 ",11/22/2017
35,78731,"2,182","$499,000 ",$256.65 ,"$560,000 ",8/10/2017
36,78731,"2,324","$550,000 ",$242.04 ,"$562,500 ",6/23/2017
37,78759,"2,456","$567,500 ",$229.44 ,"$563,500 ",6/19/2017
38,78731,"1,927","$575,000 ",$293.20 ,"$565,000 ",11/1/2017
39,78759,"2,239","$575,000 ",$255.69 ,"$572,500 ",10/9/2017
40,78731,"1,774","$579,900 ",$323.56 ,"$574,000 ",8/18/2017
41,78759,"2,671","$619,500 ",$215.28 ,"$575,000 ",6/22/2017
42,78759,"2,349","$599,900 ",$253.30 ,"$595,000 ",6/13/2017
43,78759,"2,002","$599,000 ",$297.95 ,"$596,500 ",7/14/2017
44,78759,"2,080","$597,000 ",$287.02 ,"$597,000 ",10/31/2017
45,78759,"3,334","$649,900 ",$179.96 ,"$600,000 ",8/4/2017
46,78731,"2,208","$625,000 ",$276.49 ,"$610,500 ",9/22/2017
47,78731,"2,439","$639,000 ",$252.15 ,"$615,000 ",9/18/2017
48,78759,"2,332","$624,000 ",$265.87 ,"$620,000 ",8/9/2017
49,78731,"2,073","$649,000 ",$302.51 ,"$627,100 ",9/15/2017
50,78731,"2,381","$639,900 ",$268.79 ,"$640,000 ",11/22/2017
51,78759,"2,110","$649,000 ",$305.69 ,"$645,000 ",5/22/2017
52,78731,"2,457","$669,900 ",$264.55 ,"$650,000 ",8/25/2017
53,78731,"2,548","$650,000 ",$255.10 ,"$650,000 ",7/28/2017
54,78731,"2,583","$652,000 ",$252.42 ,"$652,000 ",6/14/2017
55,78731,"2,099","$675,000 ",$314.44 ,"$660,000 ",8/17/2017
56,78731,"2,274","$695,000 ",$295.66 ,"$672,320 ",9/14/2017
57,78759,"2,569","$640,000 ",$262.75 ,"$675,000 ",8/2/2017
58,78759,"2,670","$699,900 ",$255.62 ,"$682,500 ",10/12/2017
59,78731,"2,624","$735,000 ",$261.05 ,"$685,000 ",9/1/2017
60,78731,"2,047","$695,000 ",$340.01 ,"$696,000 ",7/14/2017
61,78731,"2,626","$700,000 ",$266.57 ,"$700,000 ",7/13/2017
62,78731,"2,884","$715,000 ",$245.32 ,"$707,500 ",7/17/2017
63,78731,"2,340","$700,000 ",$303.42 ,"$710,000 ",6/7/2017
64,78731,"2,820","$725,000 ",$257.09 ,"$725,000 ",11/2/2017
65,78731,"2,945","$719,000 ",$246.18 ,"$725,000 ",5/15/2017
66,78731,"3,114","$759,000 ",$238.60 ,"$743,000 ",9/6/2017
67,78731,"2,588","$749,999 ",$289.80 ,"$749,999 ",6/30/2017
68,78759,"2,551","$755,000 ",$294.00 ,"$750,000 ",8/21/2017
69,78731,"2,758","$759,900 ",$273.35 ,"$753,900 ",7/11/2017
70,78731,"3,240","$780,000 ",$235.34 ,"$762,500 ",10/12/2017
71,78731,"2,840","$799,000 ",$269.37 ,"$765,000 ",11/1/2017
72,78731,"3,375","$859,000 ",$228.89 ,"$772,500 ",8/22/2017
