,Zip Code,Square Footage,List Price,Sold Price Per Foot,Sold Price,Sold Date
0,78759,1741,369000,186.67,325000,8/18/2014
1,78759,2058,399000,168.61,347000,9/11/2014
2,78731,1662,374900,215.4,358000,10/31/2014
3,78731,1997,410000,185.03,369500,9/15/2014
4,78731,2058,390000,187.07,385000,6/6/2014
5,78731,2289,399000,169.94,389000,9/5/2014
6,78759,1456,390000,267.17,389000,8/8/2014
7,78759,1822,400000,219.54,400000,12/11/2014
8,78731,1860,419000,220.43,410000,8/1/2014
9,78759,1922,420000,215.92,415000,11/5/2014
10,78759,2422,439500,171.35,415000,10/16/2014
11,78731,2206,469000,197.19,435000,9/29/2014
12,78731,1513,419500,287.51,435000,7/23/2014
13,78759,2598,425000,170.52,443000,8/29/2014
14,78759,2208,499500,203.35,449000,10/17/2014
15,78759,2038,449000,220.31,449000,7/31/2014
16,78731,2493,475000,180.1,449000,10/7/2014
17,78759,1815,449900,247.88,449900,10/17/2014
18,78731,2412,475000,186.57,450000,12/15/2014
19,78759,2236,450000,203.49,455000,7/17/2014
20,78759,2590,463500,176.64,457500,8/18/2014
21,78731,2470,459000,185.83,459000,6/24/2014
22,78759,2193,450000,209.76,460000,12/19/2014
23,78731,2078,475000,221.37,460000,10/23/2014
24,78731,2151,475000,215.02,462500,11/17/2014
25,78731,2640,475900,176.14,465000,12/1/2014
26,78731,2274,524500,204.49,465000,10/30/2014
27,78731,2457,462500,191.09,469500,7/1/2014
28,78759,2268,475000,210.32,477000,8/22/2014
29,78759,1864,499000,260.19,485000,10/20/2014
30,78731,2104,515000,236.45,497500,12/16/2014
31,78759,2367,499999,210.39,498000,8/27/2014
32,78731,2296,499000,217.77,500000,10/3/2014
33,78731,2306,500000,216.83,500000,5/27/2014
34,78731,2939,525000,173.53,510000,8/28/2014
35,78731,1956,525000,262.27,513000,12/11/2014
36,78731,3070,519900,168.4,517000,9/12/2014
37,78731,2398,519300,216.85,520000,10/15/2014
38,78731,2771,545000,188.2,521500,11/24/2014
39,78731,2851,560000,182.92,521500,8/29/2014
40,78731,2024,530000,261.36,529000,10/14/2014
