,Zip Code,total_cost/zip,funds_over_tot
0,78617,1201.0900000000001,1.19
1,78652,2240.3299999999995,0.64
2,78660,1713.67,0.83
3,78701,9936.89,0.14
4,78702,2723.79,0.52
5,78703,6694.6,0.21
6,78704,4298.99,0.33
7,78705,4331.8,0.33
8,78717,2346.3900000000003,0.61
9,78719,1199.3200000000002,1.19
10,78721,2034.6399999999999,0.7
11,78722,2815.67,0.51
12,78723,2428.44,0.59
13,78724,1436.06,1.0
14,78725,1181.4,1.21
15,78726,2946.93,0.49
16,78727,2085.25,0.69
17,78728,1745.84,0.82
18,78729,1968.67,0.73
19,78730,5102.990000000001,0.28
20,78731,4738.719999999999,0.3
21,78732,3281.66,0.44
22,78733,5147.300000000001,0.28
23,78734,2789.41,0.51
24,78735,3938.0,0.36
25,78736,2599.08,0.55
26,78737,3006.0,0.48
27,78738,3773.5899999999997,0.38
28,78739,3166.81,0.45
29,78741,2165.9,0.66
30,78742,1401.27,1.02
31,78744,1463.63,0.98
32,78745,1998.93,0.72
33,78746,5906.349999999999,0.24
34,78747,1684.82,0.85
35,78748,1890.24,0.76
36,78749,2428.44,0.59
37,78750,3090.02,0.46
38,78751,2851.44,0.5
39,78752,2054.33,0.7
40,78753,1608.0099999999998,0.89
41,78754,1594.89,0.9
42,78756,3691.88,0.39
43,78757,2910.83,0.49
44,78758,1804.2599999999998,0.79
45,78759,3156.9700000000003,0.45
