,afford_detrended,afford_pmt,month
0,,,1975-01-01
1,,,1975-02-01
2,,,1975-03-01
3,,0.120217,1975-04-01
4,,0.120854,1975-05-01
5,,0.122288,1975-06-01
6,,0.124156,1975-07-01
7,,0.125645,1975-08-01
8,,0.126129,1975-09-01
9,,0.126504,1975-10-01
10,,0.125124,1975-11-01
11,,0.124926,1975-12-01
12,,0.122644,1976-01-01
13,,0.120876,1976-02-01
14,,0.120697,1976-03-01
15,,0.120365,1976-04-01
16,,0.121106,1976-05-01
17,,0.123651,1976-06-01
18,,0.126322,1976-07-01
19,,0.126993,1976-08-01
20,,0.125849,1976-09-01
21,,0.124655,1976-10-01
22,,0.123286,1976-11-01
23,,0.123203,1976-12-01
24,,0.123019,1977-01-01
25,,0.122446,1977-02-01
26,,0.122527,1977-03-01
27,,0.123032,1977-04-01
28,,0.123505,1977-05-01
29,,0.12482,1977-06-01
30,,0.127368,1977-07-01
31,,0.127101,1977-08-01
32,,0.124266,1977-09-01
33,,0.123202,1977-10-01
34,,0.123499,1977-11-01
35,,0.124189,1977-12-01
36,,0.125271,1978-01-01
37,,0.127544,1978-02-01
38,,0.129772,1978-03-01
39,,0.132758,1978-04-01
40,,0.136855,1978-05-01
41,,0.139062,1978-06-01
42,,0.141645,1978-07-01
43,,0.143303,1978-08-01
44,,0.143656,1978-09-01
45,,0.146298,1978-10-01
46,,0.152384,1978-11-01
47,,0.154234,1978-12-01
48,,0.155566,1979-01-01
49,,0.156992,1979-02-01
50,,0.15891,1979-03-01
51,,0.16085,1979-04-01
52,,0.165023,1979-05-01
53,,0.17177,1979-06-01
54,,0.174187,1979-07-01
55,,0.17625,1979-08-01
56,,0.179788,1979-09-01
57,,0.190283,1979-10-01
58,,0.205014,1979-11-01
59,,0.206972,1979-12-01
60,-0.244635,0.209138,1980-01-01
61,0.131196,0.221294,1980-02-01
62,1.361928,0.261161,1980-03-01
63,1.52315,0.266361,1980-04-01
64,0.101497,0.220257,1980-05-01
65,-0.265177,0.208347,1980-06-01
66,-0.346807,0.205676,1980-07-01
67,0.02246,0.21762,1980-08-01
68,0.229864,0.224318,1980-09-01
69,0.507667,0.233297,1980-10-01
70,0.686447,0.239067,1980-11-01
71,1.062678,0.251237,1980-12-01
72,1.154587,0.254191,1981-01-01
73,1.286779,0.258451,1981-02-01
74,1.333204,0.25993,1981-03-01
75,1.52143,0.266006,1981-04-01
76,2.071518,0.283811,1981-05-01
77,2.068569,0.283691,1981-06-01
78,2.436262,0.295584,1981-07-01
79,2.675794,0.303323,1981-08-01
80,3.167202,0.319225,1981-09-01
81,3.205561,0.320444,1981-10-01
82,2.597008,0.300694,1981-11-01
83,2.528387,0.298445,1981-12-01
84,2.839003,0.308488,1982-01-01
85,2.831239,0.308211,1982-02-01
86,2.583218,0.300147,1982-03-01
87,2.494862,0.297259,1982-04-01
88,2.486152,0.296951,1982-05-01
89,2.632405,0.301667,1982-06-01
90,2.604799,0.300747,1982-07-01
91,2.162763,0.286395,1982-08-01
92,1.752304,0.273066,1982-09-01
93,1.222399,0.255865,1982-10-01
94,1.022168,0.24935,1982-11-01
95,0.909616,0.245677,1982-12-01
96,0.689808,0.238528,1983-01-01
97,0.603405,0.235702,1983-02-01
98,0.49909,0.232296,1983-03-01
99,0.439817,0.23035,1983-04-01
100,0.416131,0.229557,1983-05-01
101,0.554032,0.234002,1983-06-01
102,0.916423,0.245723,1983-07-01
103,0.984742,0.247913,1983-08-01
104,0.918657,0.245746,1983-09-01
105,0.81063,0.242219,1983-10-01
