,Zip Code,Square Footage,List Price,Sold Price Per Foot,Sold Price,Sold Date
0,78759,1696,379000,238.8,405000,10/27/2017
1,78759,2024,424999,207.51,420000,8/14/2017
2,78759,1978,395000,216.63,428500,6/23/2017
3,78759,2080,495000,210.34,437500,10/3/2017
4,78731,1527,450000,290.11,443000,10/26/2017
5,78759,1830,469900,245.9,450000,6/30/2017
6,78731,3288,500000,138.38,455000,5/23/2017
7,78731,2203,500000,208.81,460000,8/24/2017
8,78731,1662,477000,280.99,467000,7/13/2017
9,78759,2188,449900,214.81,470000,8/7/2017
10,78759,1718,495900,274.59,471750,9/13/2017
11,78759,2152,499900,220.72,475000,10/30/2017
12,78759,1908,499990,248.95,475000,9/7/2017
13,78759,1741,479989,272.83,475000,8/1/2017
14,78759,1960,465000,242.35,475000,5/25/2017
15,78731,3934,695000,122.01,480000,6/21/2017
16,78759,1609,499000,298.32,480000,7/10/2017
17,78759,2006,479900,239.28,480000,6/2/2017
18,78759,2321,525000,207.67,482000,5/30/2017
19,78759,2072,499000,237.69,492500,9/8/2017
20,78759,2016,480000,248.02,500000,11/3/2017
21,78731,1638,529000,305.25,500000,7/13/2017
22,78759,2416,579900,211.09,510000,8/9/2017
23,78759,2375,500000,218.95,520000,8/30/2017
24,78731,1834,489900,286.26,525000,11/17/2017
25,78731,2322,529999,228.25,529999,8/21/2017
26,78759,1953,539000,271.38,530000,9/8/2017
27,78759,2132,525000,251.88,537000,8/4/2017
28,78759,2500,539000,215.6,539000,8/1/2017
29,78759,2184,549900,249.31,544500,9/1/2017
30,78731,1795,500000,304.18,546000,7/28/2017
31,78731,2445,598000,223.72,547000,8/30/2017
32,78759,2749,575000,199.16,547500,7/14/2017
33,78731,2410,595000,230.29,555000,7/7/2017
34,78731,2491,578000,224.21,558500,11/22/2017
35,78731,2182,499000,256.65,560000,8/10/2017
36,78731,2324,550000,242.04,562500,6/23/2017
37,78759,2456,567500,229.44,563500,6/19/2017
38,78731,1927,575000,293.2,565000,11/1/2017
39,78759,2239,575000,255.69,572500,10/9/2017
40,78731,1774,579900,323.56,574000,8/18/2017
41,78759,2671,619500,215.28,575000,6/22/2017
42,78759,2349,599900,253.3,595000,6/13/2017
43,78759,2002,599000,297.95,596500,7/14/2017
44,78759,2080,597000,287.02,597000,10/31/2017
45,78759,3334,649900,179.96,600000,8/4/2017
46,78731,2208,625000,276.49,610500,9/22/2017
47,78731,2439,639000,252.15,615000,9/18/2017
