,Zip Code,total_cost/zip,funds_over_tot
0,7874,2159.33,0.66
1,78617,1201.0900000000001,1.19
2,78652,2240.3299999999995,0.64
3,78660,1713.67,0.83
4,78701,9936.89,0.14
5,78702,2723.79,0.52
6,78703,6694.6,0.21
7,78704,4298.99,0.33
8,78705,4331.8,0.33
9,78717,2346.3900000000003,0.61
10,78719,1199.3200000000002,1.19
11,78721,2034.6399999999999,0.7
12,78722,2815.67,0.51
13,78723,2428.44,0.59
14,78724,1436.06,1.0
15,78725,1181.4,1.21
16,78726,2946.93,0.49
17,78727,2085.25,0.69
18,78728,1745.84,0.82
19,78729,1968.67,0.73
20,78730,5102.990000000001,0.28
21,78731,4738.719999999999,0.3
22,78732,3281.66,0.44
23,78733,5147.300000000001,0.28
24,78734,2789.41,0.51
25,78735,3938.0,0.36
26,78736,2599.08,0.55
27,78737,3006.0,0.48
28,78738,3773.5899999999997,0.38
29,78739,3166.81,0.45
30,78741,2165.9,0.66
31,78742,1401.27,1.02
32,78744,1463.63,0.98
33,78745,1998.93,0.72
34,78746,5906.349999999999,0.24
35,78747,1684.82,0.85
36,78748,1890.24,0.76
37,78749,2428.44,0.59
38,78750,3090.02,0.46
39,78751,2851.44,0.5
40,78752,2054.33,0.7
41,78753,1608.0099999999998,0.89
42,78754,1594.89,0.9
43,78756,3691.88,0.39
44,78757,2910.83,0.49
45,78758,1804.2599999999998,0.79
46,78759,3156.9700000000003,0.45
