,Zip,Sqft Total,List Price,Sold/Lease$/SqFt,Sold/Lease Price,Sold/Lease Date
0,78731,"1,662","$360,000 ",$197.05 ,"$327,500 ",12/31/2015
1,78731,"2,912","$399,000 ",$121.91 ,"$355,000 ",9/16/2015
2,78731,"1,749","$410,000 ",$228.70 ,"$400,000 ",11/30/2015
3,78759,"2,204","$419,914 ",$181.49 ,"$400,000 ",7/21/2015
4,78759,"2,310","$425,000 ",$181.82 ,"$420,000 ",9/10/2015
5,78759,"2,006","$435,000 ",$211.86 ,"$425,000 ",11/16/2015
6,78731,"1,917","$439,650 ",$224.31 ,"$430,000 ",8/17/2015
7,78759,"2,004","$429,700 ",$214.57 ,"$430,000 ",7/14/2015
8,78759,"1,815","$429,900 ",$238.29 ,"$432,500 ",8/31/2015
9,78731,"2,543","$460,000 ",$174.99 ,"$445,000 ",10/15/2015
10,78731,"2,600","$499,000 ",$173.46 ,"$451,000 ",8/5/2015
11,78731,"2,131","$499,900 ",$221.96 ,"$473,000 ",12/29/2015
12,78759,"2,227","$475,000 ",$212.62 ,"$473,500 ",7/1/2015
13,78731,"2,544","$485,000 ",$186.71 ,"$475,000 ",10/9/2015
14,78731,"1,940","$447,500 ",$247.42 ,"$480,000 ",11/17/2015
15,78759,"2,333","$499,900 ",$205.74 ,"$480,000 ",10/8/2015
16,78731,"2,048","$500,000 ",$234.62 ,"$480,500 ",9/1/2015
17,78731,"2,207","$495,000 ",$219.76 ,"$485,000 ",9/8/2015
18,78731,"2,255","$499,900 ",$221.29 ,"$499,000 ",8/7/2015
19,78759,"2,050","$475,000 ",$243.66 ,"$499,500 ",7/15/2015
20,78759,"2,641","$519,000 ",$189.63 ,"$500,825 ",11/30/2015
21,78759,"2,857","$550,000 ",$176.76 ,"$505,000 ",9/14/2015
22,78759,"2,382","$510,000 ",$214.11 ,"$510,000 ",8/17/2015
23,78731,"2,676","$519,000 ",$192.45 ,"$515,000 ",12/21/2015
24,78759,"2,384","$525,000 ",$216.02 ,"$515,000 ",11/9/2015
25,78731,"1,745","$540,000 ",$295.13 ,"$515,000 ",8/7/2015
26,78731,"2,090","$529,900 ",$251.87 ,"$526,400 ",7/30/2015
27,78731,"2,265","$509,000 ",$232.67 ,"$527,000 ",8/20/2015
28,78731,"2,127","$539,900 ",$248.71 ,"$529,000 ",12/21/2015
29,78759,"3,138","$549,000 ",$168.58 ,"$529,000 ",8/13/2015
30,78731,"3,432","$675,000 ",$155.59 ,"$534,000 ",9/18/2015
31,78759,"3,029","$539,000 ",$177.29 ,"$537,000 ",12/7/2015
32,78731,"2,572","$575,000 ",$209.56 ,"$539,000 ",8/25/2015
33,78731,"2,874","$574,900 ",$188.17 ,"$540,800 ",10/8/2015
34,78731,"1,989","$555,000 ",$273.50 ,"$544,000 ",10/6/2015
35,78759,"2,214","$565,000 ",$246.16 ,"$545,000 ",12/23/2015
